Date,Open,High,Low,Close,Adj Close,Volume
2/2/2021,87.040001,90.800003,86.720001,89.919998,89.637154,10558238
2/3/2021,89.919998,90.400002,88.559998,89.599998,89.318161,6776850
2/4/2021,89.839996,92,89.519997,91.599998,91.311874,8345975
2/5/2021,92.080002,92.400002,90.559998,91.199997,90.913139,6477300
2/8/2021,91.760002,93.199997,91.279999,92.879997,92.587852,5306813
2/9/2021,92.480003,92.800003,91.279999,92.32,92.02961,6592288
2/10/2021,92.720001,92.720001,91.040001,91.199997,90.913139,5694988
2/11/2021,91.120003,91.760002,89.519997,91.68,91.391624,6478650
2/12/2021,91.279999,93.919998,91.040001,93.839996,93.54483,7304963
2/16/2021,94.559998,95.839996,94.239998,95.760002,95.458801,7539000
2/17/2021,94.720001,95.599998,94.080002,94.879997,94.581558,5367513
2/18/2021,94.720001,94.879997,92.080002,93.040001,92.747353,6106825
2/19/2021,93.760002,96.239998,93.440002,96.160004,95.857536,7631125
2/22/2021,96.559998,101.599998,96.239998,100,99.685463,12079538
2/23/2021,100.800003,101.199997,97.440002,100.720001,100.403198,9005313
2/24/2021,102.400002,106.800003,101.199997,104.959999,104.62986,13348875
2/25/2021,104.800003,106.160004,101.279999,102.080002,101.758911,11542163
2/26/2021,101.440002,102.720001,99.279999,100.32,100.004448,11091225
3/1/2021,103.360001,106.32,102.32,104.879997,104.55011,9754700
3/2/2021,105.199997,106,103.760002,103.839996,103.513374,9650675
3/3/2021,104.720001,108.959999,104.400002,107.519997,107.181801,14696538
3/4/2021,111.040001,113.040001,105.440002,108.559998,108.218529,20820213
3/5/2021,110.400002,110.480003,105.120003,108.800003,108.537766,13121938
3/8/2021,113.68,114.720001,110.480003,113.360001,113.086769,17964700
3/9/2021,112.800003,115.360001,110.639999,112,111.730049,14308463
3/10/2021,109.199997,109.919998,103.360001,106,105.744507,27528800
3/11/2021,101.519997,102.879997,95.599998,98.160004,97.923409,38225663
3/12/2021,97.919998,100.959999,97.839996,100.639999,100.397423,16818988
3/15/2021,101.919998,106.879997,101.839996,106.800003,106.54258,13925313
3/16/2021,106.639999,106.800003,104.559998,105.199997,104.946434,9307025
3/17/2021,105.599998,108.879997,105.040001,108.879997,108.617554,9903388
3/18/2021,108.720001,109.519997,105.519997,106,105.744507,7970138
3/19/2021,105.599998,106.800003,103.839996,105.760002,105.505089,8559000
3/22/2021,105.279999,105.919998,103.440002,105.040001,104.786827,6598638
3/23/2021,103.68,105.440002,100.400002,101.279999,101.035881,8206888
3/24/2021,102.080002,104.160004,100,100,99.758972,7759188
3/25/2021,99.199997,103.440002,97.839996,102.800003,102.552231,9173988
3/26/2021,103.599998,105.040001,101.68,103.919998,103.669518,7565588
3/29/2021,103.360001,104.400002,102.239998,103.599998,103.350288,6720363
3/30/2021,103.839996,106.879997,103.199997,106.400002,106.143547,6615638
3/31/2021,107.040001,107.440002,105.040001,105.040001,104.786827,7823250
4/1/2021,105.839996,106.879997,105.199997,106.239998,105.983925,7397975
4/5/2021,107.760002,108.559998,106.959999,107.68,107.420456,6342363
4/6/2021,107.68,108,106.959999,107.199997,106.941612,5006525
4/7/2021,107.199997,108.239998,106.080002,107.120003,106.861801,5220675
4/8/2021,106.080002,108,104.720001,107.599998,107.340652,6864875
4/9/2021,108,110.639999,107.360001,108.800003,108.537766,7905750
4/12/2021,108.879997,109.440002,107.760002,108.720001,108.457954,5259625
4/13/2021,108.080002,108.32,106.080002,107.519997,107.260841,6402975
4/14/2021,107.440002,110.32,107.360001,109.440002,109.176208,8079875
4/15/2021,109.839996,110,107.519997,108.400002,108.138718,6360225
4/16/2021,109.040001,109.440002,106.800003,107.120003,106.861801,6253050
4/19/2021,106.559998,107.760002,105.360001,107.68,107.420456,5609475
4/20/2021,107.279999,107.279999,103.199997,104.480003,104.228172,7682088
4/21/2021,103.440002,107.040001,102.160004,106.800003,106.54258,6201013
4/22/2021,106.800003,109.440002,106.239998,107.279999,107.021423,6575975
4/23/2021,108,108.879997,106.879997,108.400002,108.138718,5829763
4/26/2021,109.040001,112,108.400002,108.559998,108.298332,11722363
4/27/2021,108,108.32,103.279999,107.919998,107.659874,18721875
4/28/2021,106.639999,106.800003,105.199997,105.599998,105.345467,8261925
4/29/2021,105.440002,106.32,104.639999,105.68,105.425278,6894700
4/30/2021,105.279999,106.800003,104.639999,104.959999,104.707016,6237438
5/3/2021,105.919998,108.239998,105.360001,107.599998,107.340652,7934063
5/4/2021,106.720001,107.120003,104.559998,104.959999,104.707016,9692275
5/5/2021,105.279999,106.32,104.720001,105.68,105.425278,6958038
5/6/2021,105.760002,106.480003,104.239998,105.68,105.425278,7847150
5/7/2021,105.279999,106.720001,104.559998,106.400002,106.143547,6735088
5/10/2021,106.480003,108.639999,106.400002,106.800003,106.54258,8195250
5/11/2021,105.519997,106.32,103.519997,104.720001,104.467583,8501525
5/12/2021,104.639999,105.040001,102.160004,102.559998,102.312798,8856213
5/13/2021,102.400002,104.32,101.760002,103.760002,103.509903,8197850
5/14/2021,104.959999,106.400002,104.239998,106.080002,105.82431,6334675
5/17/2021,105.839996,106.720001,104.959999,105.199997,104.946434,9542238
5/18/2021,105.440002,106.160004,103.760002,103.760002,103.509903,6115788
5/19/2021,103.199997,104.800003,102.32,104.720001,104.467583,7427025
5/20/2021,104.720001,104.879997,103.360001,104.480003,104.228172,5809338
5/21/2021,104.879997,106.239998,104.400002,105.839996,105.584885,6665013
5/24/2021,106.32,106.480003,104.959999,105.440002,105.18586,4876600
5/25/2021,105.599998,106.32,104.800003,104.959999,104.707016,5916213
5/26/2021,104.959999,107.440002,104.32,107.199997,106.941612,7533713
5/27/2021,108.800003,115.199997,108.720001,114.800003,114.5233,23073575
5/28/2021,114.32,114.720001,112.239998,112.480003,112.208893,9071488
6/1/2021,113.839996,114.720001,112.800003,113.199997,112.927147,6284613
6/2/2021,113.440002,113.440002,112.080002,112.720001,112.448311,4992100
6/3/2021,111.919998,114.959999,111.519997,112.720001,112.448311,7895475
6/4/2021,113.279999,113.599998,110.879997,111.68,111.410812,8008900
6/7/2021,112,112.559998,110.879997,111.279999,111.011772,4668638
6/8/2021,111.760002,111.919998,109.760002,111.199997,110.931961,5515250
6/9/2021,110.160004,110.480003,109.360001,109.839996,109.575249,6970963
6/10/2021,110.480003,110.959999,108.720001,109.040001,108.777176,6229850
6/11/2021,109.199997,110.239998,108.559998,109.519997,109.256012,5295663
6/14/2021,110.239998,110.639999,107.279999,107.760002,107.500267,5678225
6/15/2021,107.599998,108.559998,106.480003,108.32,108.058914,4753238
6/16/2021,108,109.199997,106.32,107.519997,107.260841,8766413
6/17/2021,107.279999,108.080002,103.279999,104,103.749329,9626675
6/18/2021,102.720001,104.160004,102,102.239998,101.993568,10258088
6/21/2021,103.120003,105.519997,102.879997,105.519997,105.265663,6744263
6/22/2021,104.959999,105.599998,103.519997,104.239998,103.988739,4783575
6/23/2021,104.160004,105.519997,103.519997,103.599998,103.350288,5459688
6/24/2021,104.480003,105.599998,103.360001,105.199997,104.946434,5977550
6/25/2021,105.279999,105.919998,104.800003,105.279999,105.106163,4264450
6/28/2021,105.279999,105.360001,102.32,103.120003,102.949738,7723450
6/29/2021,104.480003,105.839996,103.68,104.720001,104.547089,8649650
6/30/2021,105.199997,108.239998,104.400002,107.68,107.502205,8568975
7/1/2021,108.639999,109.040001,106.879997,107.839996,107.661942,5836638
7/2/2021,108.32,108.32,106.480003,106.879997,106.703522,4144988
7/6/2021,106.239998,106.559998,102.559998,103.360001,103.189339,8829850
7/7/2021,103.040001,104.639999,101.919998,103.839996,103.668541,7632563
7/8/2021,101.839996,103.519997,100.879997,102.959999,102.789993,6727850
7/9/2021,104.080002,105.519997,103.519997,105.279999,105.106163,5165288
7/12/2021,104.480003,105.120003,103.199997,104.879997,104.706825,6969838
7/13/2021,104.720001,104.720001,103.040001,103.120003,102.949738,4926450
7/14/2021,103.040001,103.839996,101.760002,102.480003,102.310791,5588738
7/15/2021,101.519997,103.360001,100.559998,102.080002,101.911453,6423850
7/16/2021,102.400002,102.959999,100.160004,100.400002,100.23423,5695475
7/19/2021,97.519997,97.919998,94.559998,96,95.841492,12362150
7/20/2021,96.080002,101.919998,95.919998,101.599998,101.432243,9390363
7/21/2021,102.32,104.879997,102.160004,104.639999,104.467224,8440725
7/22/2021,104.400002,104.480003,101.599998,101.599998,101.432243,5427875
7/23/2021,102.400002,103.040001,101.040001,101.68,101.512115,4722413
7/26/2021,101.279999,103.519997,101.040001,103.360001,103.189339,6728613
7/27/2021,106.639999,107.760002,102.400002,104.639999,104.467224,14930538
7/28/2021,105.199997,107.839996,104.32,105.040001,104.86657,8571038
7/29/2021,105.519997,107.040001,104.720001,106.32,106.144447,6784563
7/30/2021,105.279999,105.760002,103.360001,103.599998,103.42894,7507838
8/2/2021,104.480003,107.209999,100.43,100.599998,100.433891,24885500
8/3/2021,100.199997,103.199997,98.110001,103.059998,102.889832,14440000
8/4/2021,101.809998,103.449997,101.459999,102.910004,102.740082,14144300
8/5/2021,103,104.639999,102.519997,103.019997,102.849892,8130800
8/6/2021,103.360001,105.260002,103.360001,104.519997,104.34742,10984300
8/9/2021,103.559998,104.269997,102.029999,103.709999,103.538757,7954700
8/10/2021,103.809998,106.330002,103.199997,106.080002,105.904846,8056100
8/11/2021,106.209999,106.209999,103.82,106.040001,105.864914,8305100
8/12/2021,106.190002,107.230003,105.239998,106.519997,106.344116,6398700
8/13/2021,106.5,106.620003,104.580002,104.919998,104.746758,5617100
8/16/2021,104.230003,104.300003,102.239998,103.349998,103.179352,6916200
8/17/2021,102.540001,103.269997,100.360001,101.620003,101.452217,8177400
8/18/2021,101.080002,103.470001,100.760002,101.410004,101.242561,6496500
8/19/2021,100,100.82,98.599998,99.419998,99.255844,10805700
8/20/2021,99.589996,100.669998,99.099998,100.050003,99.884804,6355700
8/23/2021,100.599998,101.480003,100.269997,100.970001,100.803284,6007400
8/24/2021,101.290001,103.510002,101.059998,103.269997,103.099487,6857700
8/25/2021,103.360001,105.129997,102.550003,104.699997,104.527122,7867100
8/26/2021,104.459999,104.620003,102.839996,103.379997,103.209305,8166500
8/27/2021,103.900002,106.150002,103.900002,106.089996,105.914825,7766400
8/30/2021,106.330002,106.459999,104.800003,105.190002,105.016312,7145700
8/31/2021,104.940002,106.360001,104.459999,105.410004,105.235954,10990800
9/1/2021,105.360001,105.470001,103.260002,103.660004,103.488846,7968100
9/2/2021,104,106.339996,103.980003,106.260002,106.084557,8493700
9/3/2021,106,107.360001,104.080002,104.75,104.577042,7616900
9/7/2021,104.5,104.940002,102.309998,103.290001,103.119453,10989500
9/8/2021,102.949997,104.730003,100.419998,102.580002,102.410629,12001300
9/9/2021,102.360001,104.919998,102.110001,103.290001,103.119453,9386500
9/10/2021,103.290001,103.949997,101.779999,102,101.831581,9555200
9/13/2021,102.650002,104.860001,102.019997,104.459999,104.287521,12484200
9/14/2021,104.540001,104.550003,100.07,100.379997,100.214256,16022600
9/15/2021,100.790001,102.470001,100.690002,102.160004,101.991325,8103700
9/16/2021,102.389999,102.699997,100.82,101.339996,101.172668,5981900
9/17/2021,101.150002,101.860001,100.129997,100.470001,100.304115,10718000
9/20/2021,98.5,99.870003,97.269997,99.809998,99.645195,10103800
9/21/2021,99.900002,99.989998,96.209999,96.82,96.660133,15788600
9/22/2021,97.669998,99.029999,97.660004,98.540001,98.377296,11216100
9/23/2021,99.529999,104.080002,99.519997,102.959999,102.789993,11601100
9/24/2021,102.660004,104.199997,102.599998,103.800003,103.709198,6559500
9/27/2021,104.550003,106.330002,104.389999,105.349998,105.257835,8081500
9/28/2021,105.290001,106.75,104.730003,105.730003,105.637512,12551700
9/29/2021,106,107,105.309998,106.279999,106.187027,7399200
9/30/2021,106.360001,107.089996,102.949997,103.029999,102.939865,8944200
10/1/2021,104.18,106.389999,103.669998,105.82,105.727425,8094500
10/4/2021,105.400002,107.080002,104.599998,104.900002,104.808235,7656200
10/5/2021,105.059998,106,103.75,104.900002,104.808235,5737200
10/6/2021,103.68,104.419998,102.059998,104.330002,104.238731,7013900
10/7/2021,104.839996,106.529999,104.330002,105.510002,105.417702,6656500
10/8/2021,105.370003,106.220001,104.660004,104.720001,104.628387,4272100
10/11/2021,104.839996,105.760002,103.970001,104.080002,103.988953,4121800
10/12/2021,103.559998,104.040001,101.559998,102.720001,102.630142,8549600
10/13/2021,102.199997,103.199997,101.18,102.360001,102.270454,7517000
10/14/2021,103.139999,103.650002,102.370003,102.739998,102.650116,6139100
10/15/2021,103.650002,105.900002,103.190002,104.410004,104.318665,5647200
10/18/2021,103.68,104.57,103.040001,104.120003,104.028915,4145500
10/19/2021,104.580002,104.970001,103.580002,104.730003,104.638382,4216400
10/20/2021,104.75,106.019997,103.870003,106,105.907272,6107900
10/21/2021,105.760002,106.389999,103.010002,103.150002,103.059761,7219600
10/22/2021,103.050003,104.510002,102.550003,104.050003,103.958977,5355000
10/25/2021,103.639999,105.989998,103.330002,105.300003,105.207886,6496200
10/26/2021,105.760002,110.970001,105.220001,107.440002,107.346008,11701000
10/27/2021,107.879997,108.279999,103.690002,103.849998,103.759148,8984300
10/28/2021,103.389999,105.379997,103.099998,105.260002,105.167915,5910800
10/29/2021,104.949997,105.239998,104.120003,104.870003,104.778259,5617100
11/1/2021,105.760002,106.769997,105.279999,106.230003,106.13707,4887100
11/2/2021,106.339996,107.139999,105.300003,106.690002,106.596664,4480800
11/3/2021,106.160004,106.339996,104.82,105.970001,105.877296,4111700
11/4/2021,105.870003,106.400002,104.290001,105.209999,105.117958,4675800
11/5/2021,106.93,109.650002,106.849998,108.739998,108.644867,7600000
11/8/2021,109.400002,110.309998,108.32,108.419998,108.32515,5174500
11/9/2021,114.730003,116.169998,110.480003,111.290001,111.192642,25123700
11/10/2021,112.5,112.68,108.110001,108.959999,108.864677,8692600
11/11/2021,108.550003,109.599998,106.779999,107,106.906395,5512800
11/12/2021,107.400002,107.93,106.459999,107.589996,107.495872,7621900
11/15/2021,108.029999,108.669998,106.199997,106.669998,106.576683,6124900
11/16/2021,106.150002,106.209999,102.82,103.349998,103.259583,11997700
11/17/2021,103.699997,103.879997,101.419998,101.989998,101.900772,8307600
11/18/2021,101.43,101.800003,99.18,100.669998,100.581932,8530900
11/19/2021,99.800003,100.739998,99.300003,99.959999,99.872551,6603300
11/22/2021,100.470001,101.970001,100.279999,101.040001,100.951607,6206600
11/23/2021,101.779999,102.209999,101.150002,102.080002,101.9907,6011400
11/24/2021,101.860001,102.32,101.309998,102.230003,102.140572,5572100
11/26/2021,96.660004,98.099998,95.510002,97.839996,97.754402,8607600
11/29/2021,99.269997,100.43,96.830002,98.400002,98.313919,9776600
11/30/2021,96.639999,97.43,94.470001,94.989998,94.906898,11409400
12/1/2021,96.550003,96.889999,92.940002,93,92.91864,8657100
12/2/2021,94.199997,95.779999,92.809998,95.230003,95.146698,6094600
12/3/2021,95.129997,95.349998,91.730003,92.769997,92.688843,8079800
12/6/2021,93.849998,96.889999,93.239998,96.010002,95.92601,6679900
12/7/2021,96.599998,98.330002,96.300003,97.550003,97.464668,5049000
12/8/2021,97.550003,98.940002,96.980003,98.279999,98.194023,4756800
12/9/2021,97.769997,98.190002,97,97.830002,97.744415,4066700
12/10/2021,98.089996,98.559998,96.449997,96.949997,96.865181,4274600
12/13/2021,95.970001,96.400002,92.82,93.129997,93.048523,7378600
12/14/2021,92.75,94.059998,91.720001,92.110001,92.029419,7260800
12/15/2021,92.220001,92.410004,90.18,92.080002,91.999451,7694500
12/16/2021,92.519997,94.339996,92.199997,92.529999,92.449051,7127400
12/17/2021,92.449997,93.07,90.110001,91.449997,91.369995,9065000
12/20/2021,90,90.099998,88.169998,89.980003,89.980003,6013200
12/21/2021,90.720001,93.669998,90.720001,93.059998,93.059998,7617700
12/22/2021,92.919998,93.709999,92.160004,93.07,93.07,4663900
12/23/2021,93.300003,94.540001,93.300003,94,94,3885500
12/27/2021,93.629997,94.669998,93.449997,94.620003,94.620003,3428900
12/28/2021,94.43,96.080002,94.239998,95.300003,95.300003,4051900
12/29/2021,95,95.480003,94.440002,94.790001,94.790001,3490500
12/30/2021,94.660004,95.980003,94.529999,94.699997,94.699997,3269000
12/31/2021,94.5,94.970001,93.900002,94.470001,94.470001,3795700
1/3/2022,95.220001,97.440002,94.75,96.239998,96.239998,4619800
1/4/2022,98.779999,100.050003,98.089996,99.370003,99.370003,7624100
1/5/2022,99.730003,101.790001,99.290001,99.370003,99.370003,5894700
1/6/2022,100.449997,101.080002,99.419998,99.949997,99.949997,4277000
1/7/2022,99.800003,102.239998,99.769997,101.400002,101.400002,6248300
1/10/2022,101.720001,102,98.940002,99.419998,99.419998,5768700
1/11/2022,100.290001,102.370003,99.970001,101.790001,101.790001,5673900
1/12/2022,101.43,102.620003,101.379997,102.239998,102.239998,4558500
1/13/2022,102.290001,103.650002,101.800003,102.459999,102.459999,4382500
1/14/2022,101.660004,103.269997,100.910004,103.160004,103.160004,4379200
1/18/2022,102.559998,103.730003,102.160004,102.889999,102.889999,8410600
1/19/2022,102.690002,102.989998,100.470001,100.620003,100.620003,5699000
1/20/2022,100.230003,101.790001,97.970001,98.25,98.25,5635500
1/21/2022,97.699997,98.349998,95.860001,96.300003,96.300003,8077400
1/24/2022,94.589996,97.440002,92.290001,96.910004,96.910004,9873300
1/25/2022,91.120003,92.360001,88.300003,91.110001,91.110001,20952000
1/26/2022,91.510002,91.910004,88.050003,89.32,89.32,10637200
1/27/2022,90,91.769997,88.07,89.900002,89.900002,7804600
1/28/2022,89.300003,92.160004,88.849998,92.099998,92.099998,6478600
1/31/2022,91.610001,94.559998,91.029999,94.480003,94.480003,7001600
2/1/2022,95,98.419998,94.75,97.949997,97.949997,8148000
2/2/2022,97.669998,98.410004,96.160004,97.160004,97.160004,1968774
